OBJECTID,DescSeg,TipoPNV,CODIGO
4861,ENTR. GO-336(A)/459(ITAPACI) - ENTR. GO-336(B),Pavimentada,154EGO0330
4862,ENTR. GO 336/347(B) (CRIXAS) - UIRAPURU,Pavimentada,156EGO0390
4863,ENTR. GO-338 (LUZELANDIA) - ENTR. GO-347 (SANTA TEREZINHA DE GOIAS),Pavimentada,154EGO0390
4864,ENTR. GO-156(B)/336 (CRIXAS) - ENTR. GO-154 (SANTA TEREZINHA DE GOIAS),Pavimentada,347EGO0130
4865,ENTR. GO-156/347 (CRIXAS) - ENTR. GO-164(A),Implantada,336EGO0070
4866,ENTR. GO-454 - ENTR. GO-336 (A),Pavimentada,164EGO0730
4867,ENTR. GO-164 - ENTR. GO-173,Implantada,454EGO0010
4868,ENTR. GO-347(B) - ENTR. GO-454,Leito Natural,173EGO0180
4869,ENTR. GO-206A - ENTR. GO-206B,Pavimentada,174EGO0090
4870,ENTR. BR-364(B) (CACHOEIRA ALTA) - ENTR. GO-206(A),Leito Natural,174EGO0070
4871,ENTR. GO-164 - RIVERLANDIA,Pavimentada,527EGO0010
4872,RIVERLANDIA - ENTR. GO-501,Leito Natural,527EGO0030
4873,OUROANA - ENTR. GO-527,Pavimentada,501EGO0010
4874,ENTR. GO-401 - ENTR. GO-174 (A),Pavimentada,206EGO0180
4875,,,AV4875
4876,,,AV4876
4877,,,AV4877
4878,,Duplicada,330EGO0350
4879,ENTR GO-330(B) - BONFINÓPOLIS,Pavimentada,457BGO0085
4880,LEOPOLDO DE BULHÕES - ENTR GO-330(B),Pavimentada,457BGO0080
4881,ENTR. BR-060 (INDIARA) - ENTR. GO-162/333 (JANDAIA),Pavimentada,320EGO0160
4882,ENTR. GO-405 - ENTR. GO-164,Leito Natural,333EGO0020
4883,ENTR. GO-411(B) - ENTR. GO-405,Em obras de pavimentação,050EGO0210
4884,ENTR. GO-470 - ENTR. GO-217(A),Pavimentada,147EGO0040
4885,ROCHEDO - ENTR. BR-153,Pavimentada,470EGO0030
4886,ENTR. GO-147 - ROCHEDO,Leito Natural,470EGO0010
4887,ENTR. BR-153 - ENTR. GO-040(A),Pavimentada,215EGO0010
